cluster index	CF_componentindex	CF_NrNodes	CF_kingdom	CF_kingdom_score	CF_superclass	CF_superclass_score	CF_class	CF_class_score	CF_subclass	CF_subclass_score	CF_Dparent	CF_Dparent_score	CF_MFramework	CF_MFramework_score
344	5	5	Organic compounds	1.0	Organoheterocyclic compounds	0.26921212121212124	Carboxylic acids and derivatives	0.1637835497835498		0.18155844155844156	Coumarins and derivatives	0.06103896103896104	Aromatic heteropolycyclic compounds	0.5233203463203464
373	5	5	Organic compounds	1.0	Organoheterocyclic compounds	0.26921212121212124	Carboxylic acids and derivatives	0.1637835497835498		0.18155844155844156	Coumarins and derivatives	0.06103896103896104	Aromatic heteropolycyclic compounds	0.5233203463203464
617	5	5	Organic compounds	1.0	Organoheterocyclic compounds	0.26921212121212124	Carboxylic acids and derivatives	0.1637835497835498		0.18155844155844156	Coumarins and derivatives	0.06103896103896104	Aromatic heteropolycyclic compounds	0.5233203463203464
630	5	5	Organic compounds	1.0	Organoheterocyclic compounds	0.26921212121212124	Carboxylic acids and derivatives	0.1637835497835498		0.18155844155844156	Coumarins and derivatives	0.06103896103896104	Aromatic heteropolycyclic compounds	0.5233203463203464
260	5	5	Organic compounds	1.0	Organoheterocyclic compounds	0.26921212121212124	Carboxylic acids and derivatives	0.1637835497835498		0.18155844155844156	Coumarins and derivatives	0.06103896103896104	Aromatic heteropolycyclic compounds	0.5233203463203464
345	S1	1	no matches		no matches		no matches		no matches		no matches		no matches	
346	6	8	Organic compounds	1.0	Lipids and lipid-like molecules	0.44241516649763346	Prenol lipids	0.4270199459093982	Terpene lactones	0.31315236223799864	Guaianolides and derivatives	0.14993993286969962	Aliphatic heteropolycyclic compounds	0.43672463597507966
347	6	8	Organic compounds	1.0	Lipids and lipid-like molecules	0.44241516649763346	Prenol lipids	0.4270199459093982	Terpene lactones	0.31315236223799864	Guaianolides and derivatives	0.14993993286969962	Aliphatic heteropolycyclic compounds	0.43672463597507966
348	6	8	Organic compounds	1.0	Lipids and lipid-like molecules	0.44241516649763346	Prenol lipids	0.4270199459093982	Terpene lactones	0.31315236223799864	Guaianolides and derivatives	0.14993993286969962	Aliphatic heteropolycyclic compounds	0.43672463597507966
349	6	8	Organic compounds	1.0	Lipids and lipid-like molecules	0.44241516649763346	Prenol lipids	0.4270199459093982	Terpene lactones	0.31315236223799864	Guaianolides and derivatives	0.14993993286969962	Aliphatic heteropolycyclic compounds	0.43672463597507966
172	6	8	Organic compounds	1.0	Lipids and lipid-like molecules	0.44241516649763346	Prenol lipids	0.4270199459093982	Terpene lactones	0.31315236223799864	Guaianolides and derivatives	0.14993993286969962	Aliphatic heteropolycyclic compounds	0.43672463597507966
383	6	8	Organic compounds	1.0	Lipids and lipid-like molecules	0.44241516649763346	Prenol lipids	0.4270199459093982	Terpene lactones	0.31315236223799864	Guaianolides and derivatives	0.14993993286969962	Aliphatic heteropolycyclic compounds	0.43672463597507966
167	6	8	Organic compounds	1.0	Lipids and lipid-like molecules	0.44241516649763346	Prenol lipids	0.4270199459093982	Terpene lactones	0.31315236223799864	Guaianolides and derivatives	0.14993993286969962	Aliphatic heteropolycyclic compounds	0.43672463597507966
211	6	8	Organic compounds	1.0	Lipids and lipid-like molecules	0.44241516649763346	Prenol lipids	0.4270199459093982	Terpene lactones	0.31315236223799864	Guaianolides and derivatives	0.14993993286969962	Aliphatic heteropolycyclic compounds	0.43672463597507966
340	S2	1	no matches		no matches		no matches		no matches		no matches		no matches	
341	S3	1	no matches		no matches		no matches		no matches		no matches		no matches	
342	S4	1	no matches		no matches		no matches		no matches		no matches		no matches	
343	8	2	Organic compounds	1.0	Phenylpropanoids and polyketides	0.4877873563218391	Benzene and substituted derivatives	0.27011494252873564		0.13505747126436782	Neoflavones	0.1314655172413793	Aromatic heteropolycyclic compounds	0.5538793103448276
380	8	2	Organic compounds	1.0	Phenylpropanoids and polyketides	0.4877873563218391	Benzene and substituted derivatives	0.27011494252873564		0.13505747126436782	Neoflavones	0.1314655172413793	Aromatic heteropolycyclic compounds	0.5538793103448276
298	25	2	Organic compounds	1.0	Lipids and lipid-like molecules	0.2857142857142857	Prenol lipids	0.19047619047619047		0.2857142857142857	Sesquiterpenoids	0.09523809523809523	Aromatic heteropolycyclic compounds	0.38095238095238093
299	25	2	Organic compounds	1.0	Lipids and lipid-like molecules	0.2857142857142857	Prenol lipids	0.19047619047619047		0.2857142857142857	Sesquiterpenoids	0.09523809523809523	Aromatic heteropolycyclic compounds	0.38095238095238093
296	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
297	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
295	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
273	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
92	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
1175	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
686	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
405	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
401	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
400	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
453	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
454	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
455	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
377	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
398	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
241	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
243	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
242	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
175	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
174	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
415	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
416	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
369	13	94	Organic compounds	0.9468085106382979	Lipids and lipid-like molecules	0.5367680420331306	Fatty Acyls	0.24520843738106388		0.10622344645633168	Long-chain fatty acids	0.06675027851096536	Aliphatic acyclic compounds	0.28612532757926445
